sid,seq,stitle,pid,awd,ptitle,doi,summary
1,1,Android,1-1,,PRADA: Prioritizing Android Devices for Apps by Mining Large-Scale Usage Data,http://dx.doi.org/10.1145/2884781.2884828,
1,2,Android,1-2,,Release Planning of Mobile Apps Based on User Reviews,http://dx.doi.org/10.1145/2884781.2884818,
1,3,Android,1-3,,Toward a Framework for Detecting Privacy Policy Violations in Android Application Code,http://dx.doi.org/10.1145/2884781.2884855,
1,4,Android,1-4,,Mining Sandboxes,http://dx.doi.org/10.1145/2884781.2884782,
2,1,Performance,2-1,,Generating Performance Distributions via Probabilistic Symbolic Execution,http://dx.doi.org/10.1145/2884781.2884794,
2,2,Performance,2-2,,Performance Issues and Optimizations in JavaScript: An Empirical Study,http://dx.doi.org/10.1145/2884781.2884829,
2,3,Performance,2-3,,Reliability of Run-Time Quality-of-Service Evaluation Using Parametric Model Checking,http://dx.doi.org/10.1145/2884781.2884814,
2,4,Performance,2-4,,Optimizing Selection of Competing Services with Probabilistic Hierarchical Refinement,http://dx.doi.org/10.1145/2884781.2884861,
3,1,Empirical,3-1,,The Emerging Role of Data Scientists on Software Development Teams,http://dx.doi.org/10.1145/2884781.2884783,
3,2,Empirical,3-2,,Belief & Evidence in Empirical Software Engineering,http://dx.doi.org/10.1145/2884781.2884812,
3,3,Empirical,3-3,,Grounded Theory in Software Engineering Research: A Critical Review and Guidelines,http://dx.doi.org/10.1145/2884781.2884833,
4,1,Symbolic Execution,4-1,🏆,"On the Techniques We Create, the Tools We Build, and Their Misalignments: A Study of KLEE",http://dx.doi.org/10.1145/2884781.2884835,
4,2,Symbolic Execution,4-2,🏆,Guiding Dynamic Symbolic Execution toward Unverified Program Executions,http://dx.doi.org/10.1145/2884781.2884843,
4,3,Symbolic Execution,4-3,,Synthesizing Framework Models for Symbolic Execution,http://dx.doi.org/10.1145/2884781.2884856,
4,4,Symbolic Execution,4-4,,Type-Aware Concolic Testing of JavaScript Programs,http://dx.doi.org/10.1145/2884781.2884859,
5,1,Compilers and Emerging Trends,5-1,,An Empirical Comparison of Compiler Testing Techniques,http://dx.doi.org/10.1145/2884781.2884878,"コンパイラのバグを探す3つの既存手法を empirical に比較評価した
"
5,2,Compilers and Emerging Trends,5-2,🏆,Termination-Checking for LLVM Peephole Optimizations,http://dx.doi.org/10.1145/2884781.2884809,"ピープホール最適化での
無限ループをSMTで発見
"
5,3,Compilers and Emerging Trends,5-3,,Finding and Analyzing Compiler Warning Defects,http://dx.doi.org/10.1145/2884781.2884879,コンパイラのワーニングのバグを探す差分テスト手法を提案
5,4,Compilers and Emerging Trends,5-4,,iDice: Problem Identification for Emerging Issues,http://dx.doi.org/10.1145/2884781.2884795,"急増しているイシューを特徴付ける属性の組み合わせを検出(→早期原因特定→サポートコスト低減)
"
6,1,Energy and Videos,6-1,🏆,Energy Profiles of Java Collections Classes,http://dx.doi.org/10.1145/2884781.2884869,"Javaコレクションの各操作で消費する電力を計測し省電力のためにどのクラスを使うべきかのガイドラインを示した
"
6,2,Energy and Videos,6-2,,An Empirical Study of Practitioners' Perspectives on Green Software Engineering,http://dx.doi.org/10.1145/2884781.2884810,ソフトウェア開発の現場で働く人々にエネルギー消費についてのインタビューやアンケートをした
6,3,Energy and Videos,6-3,,Automated Energy Optimization of HTTP Requests for Mobile Applications,http://dx.doi.org/10.1145/2884781.2884867,HTTPリクエストの自動集約による，モバイルアプリの消費電力削減
6,4,Energy and Videos,6-4,,Too Long; Didn't Watch! Extracting Relevant Fragments from Software Development Video Tutorials,http://dx.doi.org/10.1145/2884781.2884824,長いチュートリアル動画を見やすくする仕組みの提案
7,1,Open Source,7-1,,Overcoming Open Source Project Entry Barriers with a Portal for Newcomers,http://dx.doi.org/10.1145/2884781.2884806,新規開発者の参入障壁を取り除くために新規開発者向けのポータルを開発し評価実験を行った
7,2,Open Source,7-2,🏆,Work Practices and Challenges in Pull-Based Development: The Contributor's Perspective,http://dx.doi.org/10.1145/2884781.2884826,GitHubでPull Requestをする貢献者にインタビュー調査をした
8,1,Defect Prediction,8-1,,Automatically Learning Semantic Features for Defect Prediction,http://dx.doi.org/10.1145/2884781.2884804,
8,2,Defect Prediction,8-2,,Cross-Project Defect Prediction Using a Connectivity-Based Unsupervised Classifier,http://dx.doi.org/10.1145/2884781.2884839,プロジェクト間の不具合予測では訓練プロジェクトと対象プロジェクトのデータの不均一性が妨げとなる．そこで訓練データのいらない教師なし分類器を予測に用いることを提案した．
8,3,Defect Prediction,8-3,,Automated Parameter Optimization of Classification Techniques for Defect Prediction Models,http://dx.doi.org/10.1145/2884781.2884857,
8,4,Defect Prediction,8-4,,AntMiner: Mining More Bugs by Reducing Noise Interference,http://dx.doi.org/10.1145/2884781.2884870,
9,1,Synthesis,9-1,,Program Synthesis Using Natural Language,http://dx.doi.org/10.1145/2884781.2884786,"英語で記述した動作を実行する DSL プログラムを生成する．既存の英文・プログラム例の組を学習することで複数の ""英語に似ている"" DSL なら適用可能な手法．"
