sid,seq,"session title",pid,awd/JF,"ptitle",link (JFはpreprintへのlink)
1,1,"Traceability",1-1,,"Semantically Enhanced Software Traceability Using Deep Learning Techniques",http://dl.acm.org/citation.cfm?id=3097370
1,2,"Traceability",1-2,,"Can Latent Topics in Source Code Predict Missing Architectural Tactics?",http://dl.acm.org/citation.cfm?id=3097371
1,3,"Traceability",1-3,JF,"Preventing Defects: The Impact of Traceability Completeness on Software Quality",
1,4,"Traceability",1-4,JF,"Imprecise Matching of Requirements Specifications for Software Services using Fuzzy Logic",https://goo.gl/ELCKcb
2,1,"Documentation",2-1,,"Analyzing APIs Documentation and Code to Detect Directive Defects",http://dl.acm.org/citation.cfm?id=3097373
2,2,"Documentation",2-2,,"An Unsupervised Approach for Discovering Relevant Tutorial Fragments for APIs",http://dl.acm.org/citation.cfm?id=3097374
2,3,"Documentation",2-3,,"Detecting User Story Information in Developer-Client Conversations to Generate Extractive Summaries",http://dl.acm.org/citation.cfm?id=3097375
2,4,"Documentation",2-4,JF,"Keyword Search for Building Service-Based Systems",
3,1,"Refactoring",3-1,🏆,"Clone Refactoring with Lambda Expressions",http://dl.acm.org/citation.cfm?id=3097377
3,2,"Refactoring",3-2,,"Characterizing and Detecting Anti-patterns in the Logging Code",http://dl.acm.org/citation.cfm?id=3097378
3,3,"Refactoring",3-3,,"Automated Refactoring of Legacy Java Software to Default Methods",http://dl.acm.org/citation.cfm?id=3097379
3,4,"Refactoring",3-4,JF,"Using Cohesion and Coupling for Software Remodularization: Is it Enough?",http://dl.acm.org/citation.cfm?doid=2943790.2928268
4,1,"Recommendation Systems",4-1,,"Supporting Software Developers with a Holistic Recommender System",http://dl.acm.org/citation.cfm?id=3097381
4,2,"Recommendation Systems",4-2,,"Recommending and Localizing Change Requests for Mobile Apps based on User Reviews",http://dl.acm.org/citation.cfm?id=3097382
4,3,"Recommendation Systems",4-3,,"Machine Learning-Based Detection of Open Source License Exceptions",http://dl.acm.org/citation.cfm?id=3097383
4,4,"Recommendation Systems",4-4,JF,"Supporting Change Impact Analysis Using a Recommendation System: An Industrial Case Study in a Safety-Critical Context",http://mrksbrg.com/wp-content/uploads/preprints/2016_TSE_ImpRec.pdf
5,1,"Software Process",5-1,,"Software Development Waste",http://dl.acm.org/citation.cfm?id=3097385
5,2,"Software Process",5-2,🏆,"Becoming Agile: A Grounded Theory of Agile Transitions in Practice",http://dl.acm.org/citation.cfm?id=3097386
5,3,"Software Process",5-3,,"From Diversity by Numbers to Diversity as Process: Supporting Inclusiveness in Software Development Teams with Brainstorming",http://dl.acm.org/citation.cfm?id=3097387
5,4,"Software Process",5-4,JF,"Process Aspects and Social Dynamics of Contemporary Code Review: Insghts from Open Source Development and Industrial Practice at Microsoft",
6,1,"Studies of Software Developers",6-1,,"Classifying Developers into Core and Peripheral: An Empirical Study on Count and Network Metrics",http://dl.acm.org/citation.cfm?id=3097389
6,2,"Studies of Software Developers",6-2,🏆,"Decoding the representation of code in the brain: An fMRI study of code review and expertise",http://dl.acm.org/citation.cfm?id=3097390
6,3,"Studies of Software Developers",6-3,,"Understanding the Impressions, Motivations, and Barriers of One Time Code Contributors to FLOSS Projects: A Survey",http://dl.acm.org/citation.cfm?id=3097391
6,4,"Studies of Software Developers",6-4,JF,"The Role of Ethnographic studies in Empirical Software Engineering",
7,1,"Search-Based Software Engineering",7-1,,"Search-driven String Constraint Solving for Vulnerability Detection",http://dl.acm.org/citation.cfm?id=3097393
7,2,"Search-Based Software Engineering",7-2,,"A Guided Genetic Algorithm for Automated Crash Reproduction",http://dl.acm.org/citation.cfm?id=3097394
7,3,"Search-Based Software Engineering",7-3,,"Stochastic Optimization of Program Obfuscation",http://dl.acm.org/citation.cfm?id=3097395
7,4,"Search-Based Software Engineering",7-4,JF,"SIP: Optimal Product Selection from Feature Models using Many-Objective Evolutionary Optimisation",http://www.lsi.us.es/~segura/files/papers/hierons16-tosem.pdf
8,1,"Web Applications",8-1,,"ZenIDS: Introspective Intrusion Detection for PHP Applications",http://dl.acm.org/citation.cfm?id=3097397
8,2,"Web Applications",8-2,,"Statically Checking Web API Requests in JavaScript",http://dl.acm.org/citation.cfm?id=3097398
8,3,"Web Applications",8-3,,"On Cross-stack Configuration Errors",http://dl.acm.org/citation.cfm?id=3097399
8,4,"Web Applications",8-4,JF,"Finding and Evaluating the Performance Impact of Redundant Data Access for Applications Using ORM",http://petertsehsun.github.io/papers/peter_tse2016.pdf
9,1,"Concurrency",9-1,,"Efficient Detection of Thread Safety Violations via Coverage-Guided Generation of Concurrent Tests",http://dl.acm.org/citation.cfm?id=3097401
9,2,"Concurrency",9-2,,"RClassify: Classifying Race Conditions in Web Applications via Deterministic Replay",http://dl.acm.org/citation.cfm?id=3097402
9,3,"Concurrency",9-3,,"Repairing Event Race Errors by Controlling Nondeterminism",http://dl.acm.org/citation.cfm?id=3097403
9,4,"Concurrency",9-4,JF,"Hierarchical Program Paths",http://dl.acm.org/citation.cfm?doid=2943790.2963094
10,1,"Mobile Application Security",10-1,,"Making Malory Behave Maliciously: Targeted Fuzzing of Android Execution Environments",http://dl.acm.org/citation.cfm?id=3097405
10,2,"Mobile Application Security",10-2,,"A SEALANT for Inter-App Security Holes in Android",http://dl.acm.org/citation.cfm?id=3097406
10,3,"Mobile Application Security",10-3,,"An Efficient, Robust, and Scalable Approach for Analyzing Interacting Android Apps",http://dl.acm.org/citation.cfm?id=3097407
10,4,"Mobile Application Security",10-4,JF,"A Taxonomy and Qualitative Comparison of Program Analysis Techniques for Security Assessment of Android Apps",
11,1,"Mobile Application Development",11-1,,"LibD: Scalable and Precise Third-party Library Detection in Android Markets",http://dl.acm.org/citation.cfm?id=3097409
11,2,"Mobile Application Development",11-2,,"Analysis and Testing of Notifications in Android Wear Applications",http://dl.acm.org/citation.cfm?id=3097410
11,3,"Mobile Application Development",11-3,,"Adaptive Unpacking of Android Apps",http://dl.acm.org/citation.cfm?id=3097411
11,4,"Mobile Application Development",11-4,JF,"A Survey of App Store Analysis for Software Engineering",
12,1,"Debugging",12-1,,"Performance Diagnosis for Inefficient Loops",http://dl.acm.org/citation.cfm?id=3097413
12,2,"Debugging",12-2,,"How do Developers Fix Cross-project Correlated Bugs?: A case study on the GitHub scientific Python ecosystem",http://dl.acm.org/citation.cfm?id=3097414
12,3,"Debugging",12-3,,"Feedback-Based Debugging",http://dl.acm.org/citation.cfm?id=3097415
12,4,"Debugging",12-4,JF,"A Framework for Evaluating the Results of the SZZ Approach For Identifying Bug-Introducing Changes",
13,1,"Program Synthesis and Repair",13-1,,"Learning Syntactic Program Transformations from Examples",http://dl.acm.org/citation.cfm?id=3097417
13,2,"Program Synthesis and Repair",13-2,,"Precise Condition Synthesis for Program Repair",http://dl.acm.org/citation.cfm?id=3097418
13,3,"Program Synthesis and Repair",13-3,,"Heuristically Matching Solution Spaces of Arithmetic Formulas to Efficiently Reuse Solutions",http://dl.acm.org/citation.cfm?id=3097419
13,4,"Program Synthesis and Repair",13-4,JF,"Multi-step learning and adaptive search for learning complex model transformations from examples",http://dl.acm.org/citation.cfm?doid=2943790.2904904
14,1,"Mining Software Repositories",14-1,,"Exploring API Embedding for API Usages and Applications",http://dl.acm.org/citation.cfm?id=3097421
14,2,"Mining Software Repositories",14-2,,"Unsupervised Software-Specific Morphological Forms Inference from Informal Discussions",http://dl.acm.org/citation.cfm?id=3097422
14,3,"Mining Software Repositories",14-3,JF,"Generating API Call Rules from Version History and StackOverflow Posts",http://dl.acm.org/citation.cfm?doid=3007747.2990497
14,4,"Mining Software Repositories",14-4,JF,"Mining Sequences of Developer Interactions in Visual Studio for Usage Smells",
15,1,"Program Analysis I",15-1,,"Glacier: Transitive Class Immutability for Java",http://dl.acm.org/citation.cfm?id=3097428
15,2,"Program Analysis I",15-2,,"TRAVIOLI: A Dynamic Analysis for Detecting Data-Structure Traversals",http://dl.acm.org/citation.cfm?id=3097425
15,3,"Program Analysis I",15-3,,"ProEva: Runtime Proactive Performance Evaluation Based on Continuous-Time Markov Chains",http://dl.acm.org/citation.cfm?id=3097426
15,4,"Program Analysis I",15-4,JF,"Software Numerical Instability Detection and Diagnosis",
16,1,"Program Analysis II",16-1,JF,"The Value of Exact Analysis in Requirements Selection",
16,2,"Program Analysis II",16-2,🏆,"Challenges for Static Analysis of Java Reflection: Literature Review and Empirical Study",http://dl.acm.org/citation.cfm?id=3097429
16,3,"Program Analysis II",16-3,,"Machine-Learning-Guided Selectively Unsound Static Analysis",http://dl.acm.org/citation.cfm?id=3097430
16,4,"Program Analysis II",16-4,,"SPAIN: Security Patch Analysis for Binaries - Towards Understanding the Pain and Pills",http://dl.acm.org/citation.cfm?id=3097424
17,1,"Security, Safety, and Privacy",17-1,,"How Good is a Security Policy against Real Breaches?: A HIPAA Case Study",http://dl.acm.org/citation.cfm?id=3097432
17,2,"Security, Safety, and Privacy",17-2,,"Adaptive Coverage and Operational Profile-based Testing for Reliability Improvement",http://dl.acm.org/citation.cfm?id=3097433
17,3,"Security, Safety, and Privacy",17-3,JF,"Mining Privacy Goals from Privacy Policies using Hybridized Task Re-composition",http://dl.acm.org/citation.cfm?doid=2943790.2907942
17,4,"Security, Safety, and Privacy",17-4,JF,"Safety Evidence Change Impact Analysis in Practice",http://dl.acm.org/citation.cfm?doid=3007747.2980764
18,1,"Development Tools and Frameworks",18-1,,"RADAR: A Lightweight Tool for Requirements and Architecture Decision Analysis",http://dl.acm.org/citation.cfm?id=3097435
18,2,"Development Tools and Frameworks",18-2,,"PEoPL: Projectional Editing of Product Lines",http://dl.acm.org/citation.cfm?id=3097436
18,3,"Development Tools and Frameworks",18-3,,"Do Developers Read Compiler Error Messages?",http://dl.acm.org/citation.cfm?id=3097437
18,4,"Development Tools and Frameworks",18-4,,"A General Framework for Dynamic Stub Injection",http://dl.acm.org/citation.cfm?id=3097438
19,1,"Testing and Debugging",19-1,,"An Empirical Study on Mutation, Statement and Branch Coverage Fault Revelation that Avoids the Unreliable Clean Program Assumption",http://dl.acm.org/citation.cfm?id=3097440
19,2,"Testing and Debugging",19-2,,"Evaluating and Improving Fault Localization",http://dl.acm.org/citation.cfm?id=3097441
19,3,"Testing and Debugging",19-3,JF,"A Survey on Metamorphic Testing",http://www.lsi.us.es/~segura/files/papers/segura16-tse.pdf
19,4,"Testing and Debugging",19-4,JF,"A Dissection of Test-Driven Development: Does It Really Matter to Test-First or to Test-Last",
20,1,"Testing I",20-1,,"Syntactic and Semantic Differencing for Combinatorial Models of Test Designs",http://dl.acm.org/citation.cfm?id=3097443
20,2,"Testing I",20-2,,"Balancing Soundness and Efficiency for Practical Testing of Configurable Systems",http://dl.acm.org/citation.cfm?id=3097444
20,3,"Testing I",20-3,,"Automatic Text Input Generation for Mobile Testing",http://dl.acm.org/citation.cfm?id=3097445
20,4,"Testing I",20-4,,"A Test-Suite Diagnosability Metric for Spectrum-based Fault Localization Approaches",http://dl.acm.org/citation.cfm?id=3097446
21,1,"Testing II",21-1,,"Automated Transplantation and Differential Testing for Clones",http://dl.acm.org/citation.cfm?id=3097448
21,2,"Testing II",21-2,🏆,"Code Defenders: Crowdsourcing Effective Tests and Subtle Mutants with a Mutation Testing Game",http://dl.acm.org/citation.cfm?id=3097449
21,3,"Testing II",21-3,🏆,"Optimizing Test Placement for Module-Level Regression Testing",http://dl.acm.org/citation.cfm?id=3097450
21,4,"Testing II",21-4,,"Learning to Prioritize Test Programs for Compiler Testing",http://dl.acm.org/citation.cfm?id=3097451
22,1,"Defect Prediction",22-1,,"What Causes My Test Alarm?: Automatic Cause Analysis for Test Alarms in System and Integration Testing",http://dl.acm.org/citation.cfm?id=3097453
22,2,"Defect Prediction",22-2,JF,"An Improved SDA based Defect Prediction Framework for both Within-project and Cross-project Class-imbalance Problems",
22,3,"Defect Prediction",22-3,JF,"An Empirical Comparison of Model Validation Techniques for Defect Prediction Models",http://chakkrit.com/assets/papers/tantithamthavorn2016mvt.pdf
22,4,"Defect Prediction",22-4,JF,"The Use of Summation to Aggregate Software Metrics Hinders the Performance of Defect Prediction Models",
23,1,"Formal Methods",23-1,,"Symbolic Model Extraction for Web Application Verification",http://dl.acm.org/citation.cfm?id=3097455
23,2,"Formal Methods",23-2,,"UML Diagram Refinement",http://dl.acm.org/citation.cfm?id=3097456
23,3,"Formal Methods",23-3,JF,"Impact-Driven Process Model Repair",https://eprints.qut.edu.au/97668/
23,4,"Formal Methods",23-4,JF,"GK-Tail+ An Efficient Approach to Learn Precise Software Models",
24,1,"Software Evolution",24-1,,"Fuzzy Fine-grained Code-history Analysis",http://dl.acm.org/citation.cfm?id=3097458
24,2,"Software Evolution",24-2,,"To Type or Not to Type: Quantifying Preventable Bugs in JavaScript",http://dl.acm.org/citation.cfm?id=3097459
24,3,"Software Evolution",24-3,,"The Evolution of Continuous Experimentation in Software Product Development",http://dl.acm.org/citation.cfm?id=3097460
24,4,"Software Evolution",24-4,JF,"Approaches to Co-Evolution of Metamodels and Models: A Survey",
